Type,Name,Baseline,Transitional/Late
Upstream,ESRRA,,-0.895
Upstream,EP300,,-0.895
Upstream,NR1I2,,-0.889
Upstream,PTGES,,-0.882
Upstream,TLR8,,-0.874
Upstream,PTH,,-0.862
Upstream,Cdkn2a,,-0.857
Upstream,AIMP1,,-0.854
Upstream,EPO,,-0.852
Upstream,MOG,,-0.85
Upstream,USP7,,-0.849
Upstream,Saa1/Saa2,,-0.849
Upstream,GSN,,-0.849
Upstream,JUND,,-0.849
Upstream,CTSB,,-0.849
Upstream,TYROBP,,-0.847
Upstream,ERBB2,,-0.838
Upstream,MDK,,-0.838
Upstream,BCL3,,-0.834
Upstream,FYB1,,-0.832
Upstream,NOTCH2,,-0.832
Upstream,PIK3R1,,-0.831
Upstream,YAP1,,-0.822
Upstream,INS,,-0.821
Upstream,RNASE2,,-0.82
Upstream,BCL11B,,-0.816
Upstream,FYN,,-0.816
Upstream,Samsn1,,-0.816
Upstream,EGLN1,,-0.816
Upstream,SMPD1,,-0.816
Upstream,Fcgr3,,-0.807
Upstream,STAT5A,,-0.807
Upstream,IL6R,,-0.8
Upstream,TNFSF9,,-0.793
Upstream,PRKAA1,,-0.792
Upstream,F2R,,-0.792
Upstream,FLT3LG,,-0.792
Upstream,CCL2,,-0.788
Upstream,XRCC6,,-0.784
Upstream,SPHK1,,-0.767
Upstream,AKT1,,-0.766
Upstream,JNK,,-0.766
Upstream,collagenase,,-0.762
Upstream,CXCR4,,-0.762
Upstream,TNFRSF11B,,-0.762
Upstream,EIF4E,,-0.756
Upstream,LGALS3,,-0.754
Upstream,AXL,,-0.753
Upstream,IL13,,-0.75
Upstream,SERPINA1,,-0.749
Upstream,RAS,,-0.747
Upstream,mir-132 (includes others),,-0.747
Upstream,BCAP31,,-0.744
Upstream,mir-21 (includes others),,-0.737
Upstream,POU5F1,,-0.728
Upstream,EGR1,,-0.725
Upstream,PNPLA2,,-0.723
Upstream,PTGER2,,-0.721
Upstream,GAB2,,-0.721
Upstream,IKBKE,,-0.715
Upstream,MAP3K8,,-0.705
Upstream,mir-130 (includes others),,-0.703
Upstream,GAS6,,-0.698
Upstream,DDOST,,-0.692
Upstream,CCL3,,-0.689
Upstream,AGER,,-0.68
Upstream,PPARA,,-0.667
Upstream,FGF2,,-0.664
Upstream,DDIT4,,-0.662
Upstream,MIF,,-0.657
Upstream,PADI4,,-0.655
Upstream,ITGB1,,-0.655
Upstream,OSCAR,,-0.655
Upstream,TNC,,-0.651
Upstream,MEK,,-0.644
Upstream,VEGF,,-0.628
Upstream,CLEC4E,,-0.625
Upstream,CCDC134,,-0.611
Upstream,BCR (complex),,-0.61
Upstream,ERK1/2,,-0.609
Upstream,PIK3CD,,-0.602
Upstream,SMAD7,,-0.595
Upstream,CD69,,-0.594
Upstream,FCGR2A,,-0.591
Upstream,CRP,,-0.59
Upstream,TEK,,-0.586
Upstream,STAT6,,-0.584
Upstream,IL17A dimer,,-0.579
Upstream,Alox15,,-0.577
Upstream,CCR6,,-0.577
Upstream,IL17R,,-0.577
Upstream,FOXO1,,-0.569
Upstream,PHB2,,-0.555
Upstream,TLR5,,-0.555
Upstream,USP47,,-0.555
Upstream,IL3,,-0.538
Upstream,growth hormone,,-0.534
Upstream,RIPK1,,-0.53
Upstream,CD3 (complex),,-0.53
Upstream,IL36G,,-0.522
Upstream,NFATC1,,-0.522
Upstream,S1PR1,,-0.519
Upstream,TARDBP,,-0.506
Upstream,NR3C2,,-0.505
Upstream,RXRA,,-0.496
Upstream,BRD4,,-0.493
Upstream,DEK,,-0.492
Upstream,SYK,,-0.49
Upstream,CFLAR,,-0.489
Upstream,CCL11,,-0.489
Upstream,BICD2,,-0.484
Upstream,SPP1,,-0.482
Upstream,RBPJ,,-0.478
Upstream,CEBPB,,-0.472
Upstream,FTO,,-0.468
Upstream,SERPINB3,,-0.465
Upstream,PPP2CA,,-0.457
Upstream,KITLG,,-0.455
Upstream,RXRB,,-0.447
Upstream,TLR7/8,,-0.447
Upstream,ITPR2,,-0.447
Upstream,TRIM28,,-0.443
Upstream,LRP6,,-0.437
Upstream,LRP5,,-0.437
Upstream,SATB1,,-0.436
Upstream,TRAF3,,-0.433
Upstream,CD200,,-0.426
Upstream,PIEZO1,,-0.418
Upstream,GJA1,,-0.415
Upstream,NRG1,,-0.412
Upstream,TNFRSF9,,-0.398
Upstream,HRAS,,-0.394
Upstream,CD274,,-0.392
Upstream,NFKBIB,,-0.391
Upstream,TIMP1,,-0.391
Upstream,CARD9,,-0.389
Upstream,IL27RA,,-0.385
Upstream,CEBPD,,-0.381
Upstream,ANXA1,,-0.378
Upstream,MUC16,,-0.378
Upstream,IFNGR1,,-0.374
Upstream,IL1RL2,,-0.372
Upstream,LAIR1,,-0.371
Upstream,CTNNB1,,-0.369
Upstream,TNFSF10,,-0.364
Upstream,CD3E,,-0.359
Upstream,GH1,,-0.358
Upstream,mir-34 (includes others),,-0.356
Upstream,IRF8,,-0.346
Upstream,IL12RB2,,-0.34
Upstream,RBX1,,-0.333
Upstream,VCAN,,-0.32
Upstream,Fcgr2b,,-0.314
Upstream,CYP2E1,,-0.314
Upstream,Collagen type II,,-0.314
Upstream,PPARD,,-0.311
Upstream,MAPT,,-0.307
Upstream,PARP1,,-0.298
Upstream,LCK,,-0.296
Upstream,WT1,,-0.284
Upstream,MDM2,,-0.277
Upstream,SREBF1,,-0.277
Upstream,CAMK4,,-0.277
Upstream,ERK,,-0.276
Upstream,PIM1,,-0.271
Upstream,SMAD4,,-0.27
Upstream,IL17C,,-0.269
Upstream,IL32,,-0.267
Upstream,ADM2,,-0.254
Upstream,ACOD1,,-0.254
Upstream,TREM1,,-0.247
Upstream,Calcineurin (complex),,-0.247
Upstream,FOXP3,,-0.244
Upstream,PROC,,-0.243
Upstream,ADCYAP1,,-0.242
Upstream,BRCA1,,-0.241
Upstream,ARID1A,,-0.236
Upstream,CTLA4,,-0.235
Upstream,LTBR,,-0.218
Upstream,AREG,,-0.218
Upstream,CHRNA7,,-0.218
Upstream,KIT,,-0.218
Upstream,OGA,,-0.213
Upstream,insulin,,-0.21
Upstream,ALOX5,,-0.208
Upstream,NGF,,-0.202
Upstream,HSPA5,,-0.199
Upstream,WNT5A,,-0.181
Upstream,CD44,,-0.177
Upstream,POMC,,-0.16
Upstream,GAST,,-0.156
Upstream,IKB,,-0.152
Upstream,SSTR2,,-0.152
Upstream,NGF,,-0.152
Upstream,JAG2,,-0.152
Upstream,RXR/VDR/vitamin D3,,-0.152
Upstream,LIPE,,-0.152
Upstream,miR-291a-3p (and other miRNAs w/seed AAGUGCU),,-0.144
Upstream,RFX1,,-0.14
Upstream,QKI,,-0.128
Upstream,NCOA1,,-0.127
Upstream,STAT5B,,-0.127
Upstream,EPAS1,,-0.125
Upstream,TRIM8,,-0.117
Upstream,SIRT1,,-0.116
Upstream,VIP,,-0.107
Upstream,PRKD1,,-0.106
Upstream,EOMES,,-0.106
Upstream,SPARC,,-0.106
Upstream,Cxcl1,,-0.106
Upstream,KLF4,,-0.105
Upstream,C3,,-0.099
Upstream,IRAK4,,-0.096
Upstream,NKX2-3,,-0.095
Upstream,ETV7,,-0.095
Upstream,PRKCQ,,-0.092
Upstream,mir-1 (includes others),,-0.092
Upstream,FABP4,,-0.085
Upstream,NOTCH1,,-0.069
Upstream,PRKAA,,-0.068
Upstream,SERPINE1,,-0.068
Upstream,LGALS9,,-0.066
Upstream,TRIM21,,-0.064
Upstream,mir-182,,-0.063
Upstream,OTUD1,,-0.06
Upstream,BCL2,,-0.057
Upstream,NR5A2,,-0.055
Upstream,ZC3H12A,,-0.053
Upstream,CLEC7A,,-0.046
Upstream,GSK3B,,-0.043
Upstream,CD2,,-0.043
Upstream,MERTK,,-0.042
Upstream,ZBTB16,,-0.04
Upstream,FCER2,,-0.038
Upstream,ICOS,,-0.036
Upstream,FCER1G,,-0.036
Upstream,ETS1,,-0.034
Upstream,DHX9,,-0.031
Upstream,CREB1,,-0.027
Upstream,TNFSF15,,-0.008
Upstream,PRKCE,,-0.006
Upstream,TLN1,,0
Upstream,CASR,,0
Upstream,ATG5,,0
Upstream,CXCL5,,0
Upstream,IGF2BP1,,0
Upstream,NRP1,,0
Upstream,HBEGF,,0
Upstream,FOXL2,,0
Upstream,mir-8 (includes others),,0
Upstream,GHRL,,0
Upstream,HMG20A,,0
Upstream,ARRB1,,0
Upstream,AIRE,,0
Upstream,IL1RL1,,0.003
Upstream,miR-124-3p (and other miRNAs w/seed AAGGCAC),,0.019
Upstream,MMP9,,0.02
Upstream,CDKN1A,,0.022
Upstream,TIRAP,,0.028
Upstream,INHBA,,0.049
Upstream,NR4A1,,0.055
Upstream,AMPK,,0.056
Upstream,NFAT5,,0.057
Upstream,SFTPA1,,0.057
Upstream,RORA,,0.058
Upstream,HGF,,0.063
Upstream,VTN,,0.063
Upstream,Serpina3n (includes others),,0.063
Upstream,F7,,0.064
Upstream,Casp4,,0.068
Upstream,MAFB,,0.068
Upstream,BCL2L1,,0.068
Upstream,BMP10,,0.074
Upstream,NR1H4,,0.082
Upstream,GFI1,,0.089
Upstream,BCL6,,0.105
Upstream,WWTR1,,0.106
Upstream,TGFA,,0.115
Upstream,WTAP,,0.117
Upstream,IRF2,,0.12
Upstream,TNFRSF1B,,0.12
Upstream,MAPK,,0.124
Upstream,TSC22D3,,0.127
Upstream,INSR,,0.128
Upstream,estrogen receptor,,0.128
Upstream,NFE2L2,,0.129
Upstream,ITGB2,,0.13
Upstream,RHOA,,0.132
Upstream,LCN2,,0.133
Upstream,CAV1,,0.144
Upstream,RORC,,0.152
Upstream,BAX,,0.152
Upstream,mir-223,,0.152
Upstream,MMP1,,0.152
Upstream,NPC2,,0.152
Upstream,ARNT,,0.152
Upstream,CREM,,0.157
Upstream,TRIM13,,0.157
Upstream,FASLG,,0.164
Upstream,SREBF2,,0.174
Upstream,HDAC,,0.18
Upstream,SNCA,,0.182
Upstream,IgG,,0.185
Upstream,CYP19A1,,0.187
Upstream,MYBL2,,0.192
Upstream,JAK3,,0.198
Upstream,TRIM26,,0.2
Upstream,ATP6AP2,,0.2
Upstream,PDE4,,0.204
Upstream,ID2,,0.213
Upstream,IPMK,,0.218
Upstream,Pycard,,0.218
Upstream,PSEN1,,0.218
Upstream,MYB,,0.22
Upstream,IL11,,0.223
Upstream,IRF4,,0.227
Upstream,GIP,,0.23
Upstream,HSP70,,0.237
Upstream,LGALS1,,0.243
Upstream,ZC3HAV1,,0.246
Upstream,Casp1,,0.246
Upstream,ITGAV,,0.254
Upstream,ZMPSTE24,,0.254
Upstream,IL17F,,0.256
Upstream,ICAM1,,0.262
Upstream,miR-17-5p (and other miRNAs w/seed AAAGUGC),,0.27
Upstream,CRH,,0.277
Upstream,TSC2,,0.277
Upstream,SHH,,0.277
Upstream,26S proteasome,,0.277
Upstream,KLF5,,0.277
Upstream,CDX1,,0.277
Upstream,CH25H,,0.277
Upstream,PTPN6,,0.289
Upstream,miR-125b-5p (and other miRNAs w/seed CCCUGAG),,0.298
Upstream,CALCA,,0.3
Upstream,TNFRSF1A,,0.311
Upstream,KLF15,,0.312
Upstream,mir-154 (includes others),,0.317
Upstream,SQSTM1,,0.331
Upstream,LDB1,,0.333
Upstream,LMO2,,0.333
Upstream,PPARG,,0.346
Upstream,PDE4B,,0.36
Upstream,ANGPT1,,0.371
Upstream,KRAS,,0.371
Upstream,UCP2,,0.374
Upstream,NR0B2,,0.375
Upstream,JAK2,,0.378
Upstream,PIWIL4,,0.378
Upstream,mir-214 (includes others),,0.391
Upstream,GLI2,,0.394
Upstream,CCN1,,0.399
Upstream,THPO,,0.404
Upstream,MRTFA,,0.418
Upstream,HAVCR1,,0.431
Upstream,ERN1,,0.44
Upstream,FGF1,,0.447
Upstream,GPBAR1,,0.456
Upstream,HNRNPU,,0.463
Upstream,GPER1,,0.478
Upstream,FGF21,,0.482
Upstream,VDR,,0.496
Upstream,IL2RG,,0.52
Upstream,Chrna7,,0.528
Upstream,HDL,,0.533
Upstream,SP1,,0.539
Upstream,NR1H2,,0.547
Upstream,CREBBP,,0.548
Upstream,EGR3,,0.555
Upstream,ISG15,,0.555
Upstream,PTGS1,,0.555
Upstream,ESR1,,0.567
Upstream,NR1H,,0.571
Upstream,activin (family),,0.573
Upstream,FBXW7,,0.577
Upstream,C3AR1,,0.577
Upstream,NCF1,,0.578
Upstream,CLU,,0.58
Upstream,AR,,0.598
Upstream,TRIM38,,0.598
Upstream,EIF4EBP1,,0.616
Upstream,EIF4EBP2,,0.616
Upstream,FOXO3,,0.624
Upstream,DICER1,,0.627
Upstream,PRKAA2,,0.64
Upstream,DRD2,,0.64
Upstream,Ifitm3,,0.64
Upstream,NEIL2,,0.64
Upstream,CISH,,0.64
Upstream,ESR2,,0.644
Upstream,RPSA,0.068,0.649
Upstream,SAMHD1,,0.651
Upstream,FIRRE,,0.651
Upstream,IRAK3,,0.652
Upstream,SENP1,,0.655
Upstream,miR-182-5p (and other miRNAs w/seed UUGGCAA),,0.655
Upstream,TCF4,,0.655
Upstream,GHR,,0.655
Upstream,BSG,,0.655
Upstream,PSMB11,,0.655
Upstream,SIRPA,,0.666
Upstream,ORM1,,0.686
Upstream,RELB,,0.689
Upstream,Il22/Il22b,,0.689
Upstream,CD4,,0.7
Upstream,APOE,,0.703
Upstream,ZEB2,,0.707
Upstream,ELAVL1,,0.707
Upstream,PRDX1,,0.714
Upstream,NOS3,,0.727
Upstream,GCG,,0.728
Upstream,ACKR2,,0.728
Upstream,NLRP12,,0.728
Upstream,CASP3,,0.728
Upstream,NR1H3,,0.736
Upstream,KLF2,,0.743
Upstream,IL10,0.398,0.746
Upstream,PROCR,,0.747
Upstream,ITK,,0.751
Upstream,GRN,,0.756
Upstream,PRMT1,,0.761
Upstream,TRAF1,,0.762
Upstream,Pla2g2d,,0.765
Upstream,DNMT3A,,0.765
Upstream,DUSP10,,0.771
Upstream,SCARB1,,0.778
Upstream,PRF1,,0.784
Upstream,CDH1,,0.784
Upstream,XBP1,,0.785
Upstream,PRNP,,0.785
Upstream,PTX3,,0.789
Upstream,PTPN11,,0.806
Upstream,CORT,,0.817
Upstream,GAPDH,,0.822
Upstream,CCR2,,0.837
Upstream,LEF1,,0.841
Upstream,MAS1,,0.842
Upstream,PGR,,0.845
Upstream,KDM6A,,0.849
Upstream,SERPINE2,,0.849
Upstream,GPX1,,0.856
Upstream,ADAR,,0.858
Upstream,TRIM24,,0.868
Upstream,TXN,,0.882
Upstream,ITGB3,,0.883
Upstream,NPM1,,0.896
Upstream,SERPINB7,,0.896
Upstream,ID1,,0.896
Upstream,mir-506 (includes others),,0.9
Upstream,TCF3,,0.905
Upstream,ZBTB20,,0.916
Upstream,PTEN,,0.926
Upstream,BACH2,,0.928
Upstream,SIRT6,,0.954
Upstream,GPR132,,0.958
Upstream,THRB,,0.966
Upstream,TGF beta,,0.969
Upstream,NCOR1,,0.97
Upstream,PDCD1,,0.979
Upstream,DNASE2,,0.985
Upstream,YY1,,0.988
Upstream,PELI1,,0.996
Upstream,ADM,,0.998
Upstream,SOX4,,1
Upstream,IL6ST,,1
Upstream,GRK2,,1
Upstream,HSP90 (family),,1
Upstream,Lilrb4a/Lilrb4b,,1
Upstream,ZRANB1,,1
Upstream,Ear1/Ear2,,1
Upstream,LATS2,,1
Upstream,MEF2C,,1
Upstream,ATG7,,1.015
Upstream,ABCG1,,1.033
Upstream,RTCB,,1.035
Upstream,CDX2,,1.064
Upstream,PRDM16,,1.067
Upstream,OPA1,,1.067
Upstream,miR-511-5p (miRNAs w/seed UGUCUUU),,1.067
Upstream,KCNIP3,,1.067
Upstream,RNF31,,1.091
Upstream,SPRY2,,1.091
Upstream,HOXA10,,1.091
Upstream,XDH,,1.091
Upstream,ZFPM1,,1.091
Upstream,IKZF2,,1.091
Upstream,LILRB4,,1.091
Upstream,CUX1,,1.103
Upstream,mir-155,,1.112
Upstream,ADIPOQ,,1.113
Upstream,BMP7,,1.114
Upstream,miR-155-5p (miRNAs w/seed UAAUGCU),,1.12
Upstream,HRH3,,1.131
Upstream,KL,,1.131
Upstream,mir-30 (includes others),,1.133
Upstream,TCF12,,1.134
Upstream,COP1,,1.153
Upstream,caspase,,1.154
Upstream,CYLD,,1.165
Upstream,BCL2L11,,1.165
Upstream,BDNF,,1.188
Upstream,CYP2J2,,1.216
Upstream,IGF1R,,1.217
Upstream,NLRX1,,1.226
Upstream,PKM,,1.231
Upstream,GPS2,,1.254
Upstream,IL10RA,,1.265
Upstream,HIVEP1,,1.3
Upstream,WNT3A,,1.303
Upstream,TET2,,1.32
